Time (seconds),x,y,z
5.23,-860,-484,-196
5.29,-864,-472,-208
5.34,-848,-484,-224
5.40,-864,-468,-172
5.46,-852,-504,-156
5.51,-844,-492,-180
5.57,-860,-456,-204
5.62,-880,-488,-216
5.68,-888,-496,-212
5.74,-868,-500,-228
5.79,-876,-472,-220
5.85,-856,-424,-248
5.92,-852,-388,-268
5.98,-836,-388,-272
6.04,-848,-404,-300
6.09,-844,-420,-304
6.15,-840,-452,-320
6.20,-812,-520,-340
6.26,-844,-500,-304
6.32,-840,-452,-320
6.37,-836,-400,-320
6.43,-852,-404,-288
6.48,-868,-392,-256
6.54,-860,-384,-220
6.60,-908,-360,-168
6.67,-936,-308,-112
6.73,-940,-292,-84
6.78,-1008,-240,-40
6.84,-1004,-268,-44
6.90,-976,-248,-56
6.95,-968,-264,-52
7.01,-980,-272,-36
7.06,-1004,-288,-24
7.12,-944,-332,-72
7.18,-1004,-256,-52
7.23,-936,-280,-56
7.29,-936,-264,-92
7.34,-984,-196,-116
7.42,-960,-208,-104
7.48,-996,-196,-56
7.53,-1028,-228,-40
7.59,-1024,-232,-72
7.64,-1064,-208,-96
7.70,-1020,-216,-116
7.76,-992,-228,-160
7.81,-984,-200,-72
7.87,-964,-168,-104
7.92,-972,-160,-68
7.98,-976,-128,-60
8.04,-1024,-68,-32
8.09,-1020,-112,-40
8.17,-1028,-48,-60
8.22,-1008,-64,-144
8.28,-996,-12,-144
8.34,-1000,-28,-80
8.39,-1008,-56,-120
8.45,-1052,-48,-32
8.50,-1016,-76,-100
8.56,-1032,-68,0
8.62,-1024,-32,-84
8.67,-1060,-28,-40
8.73,-1052,-48,-16
8.78,-996,-92,-56
8.84,-1016,-88,-48
8.90,-968,-8,-84
8.97,-932,-92,-68
9.03,-928,-84,-12
9.08,-944,-152,-12
9.14,-1044,4,68
9.20,-988,-52,-40
9.25,-956,-84,-60
9.31,-912,-44,-84
9.36,-936,-88,-48
9.42,-924,-48,-84
9.48,-968,-68,-108
9.53,-996,-12,-200
9.59,-1036,20,-100
9.64,-1060,-36,-64
9.70,-1088,-8,-76
9.78,-1020,-80,-132
9.83,-1048,48,-128
9.89,-1036,84,-132
9.94,-1020,16,-136
10.00,-1012,-48,-132
10.06,-1024,-56,-68
10.11,-976,48,-104
10.17,-1012,-28,-112
10.22,-988,-16,-168
10.28,-988,44,-140
10.34,-992,28,-108
10.39,-1004,-36,-80
10.45,-1040,0,-96
10.52,-1036,28,-136
10.58,-1004,52,-148
10.64,-1024,12,-100
10.69,-1012,-28,-116
10.75,-1016,4,-108
10.80,-1000,28,-100
10.86,-976,-52,-72
10.92,-960,-16,-92
10.97,-2040,2040,-160
11.03,2040,-156,-1904
11.08,-2040,2040,1964
11.14,-2040,2040,1808
11.22,-1360,-192,908
11.27,-868,-140,-380
11.33,-1268,-96,256
11.38,-1140,64,288
11.44,-908,-168,-76
11.50,-988,156,-208
11.55,-1060,188,-8
11.61,-1040,48,84
11.66,-1004,28,8
11.72,-1100,264,4
11.78,-1036,128,28
11.83,-1000,60,28
11.89,-1048,168,24
11.94,-1048,148,-40
12.02,-1028,44,-12
12.08,-1024,68,4
12.13,-1028,36,16
12.19,-992,0,16
12.24,-948,-8,-20
12.30,-984,0,28
12.36,-976,24,12
12.41,-1004,64,-8
12.47,-1016,52,-8
12.52,-1020,56,0
12.58,-1016,72,8
12.64,-1020,84,0
12.69,-1008,44,0
12.75,-1012,24,-8
12.82,-1012,48,-12
12.88,-1012,64,-8
12.94,-1020,80,-8
12.99,-1012,96,4
13.05,-996,120,-8
13.10,-996,172,4
13.16,-972,180,0
13.22,-956,220,8
13.27,-936,108,-40
13.33,-1076,116,-52
13.38,-1100,100,-92
13.44,-1100,24,-176
13.50,-988,-96,-240
13.55,-1000,-164,-220
13.63,-944,-272,-180
13.68,-924,-312,-192
13.74,-884,-344,-240
13.80,-844,-404,-304
13.85,-892,-468,-288
13.91,-812,-496,-340
13.96,-788,-528,-356
14.02,-804,-484,-432
14.08,-780,-460,-464
14.13,-764,-408,-484
14.19,-756,-392,-464
14.24,-764,-384,-476
14.32,-744,-384,-500
14.38,-764,-396,-504
14.43,-784,-396,-484
14.49,-808,-412,-480
14.54,-792,-432,-460
14.60,-828,-452,-424
14.66,-796,-440,-400
14.71,-796,-456,-388
14.77,-776,-456,-392
14.82,-776,-428,-428
14.88,-808,-420,-436
14.94,-796,-436,-440
14.99,-824,-464,-428
15.07,-796,-460,-380
15.12,-784,-440,-440
15.18,-796,-432,-416
15.24,-816,-432,-392
15.29,-796,-448,-384
15.35,-812,-452,-380
15.40,-808,-496,-348
15.46,-812,-484,-364
15.52,-812,-488,-336
