Time (seconds),x,y,z,xyz
348.95,-872,-376,-324,1003
349.00,-884,-368,-316,1008
349.06,-900,-356,-304,1014
349.12,-868,-360,-292,984
349.17,-864,-388,-308,995
349.23,-864,-328,-288,968
349.28,-876,-384,-256,990
349.34,-828,-440,-268,975
349.40,-836,-484,-292,1009
349.47,-840,-488,-280,1011
349.53,-892,-376,-332,1023
349.58,-908,-268,-304,994
349.64,-896,-212,-288,964
349.70,-932,-184,-216,974
349.75,-992,-168,-200,1025
349.81,-1004,-204,-168,1038
349.86,-988,-220,-176,1027
349.92,-976,-248,-148,1017
349.98,-972,-308,-88,1023
350.05,-916,-384,-48,994
350.11,-924,-420,16,1015
350.16,-928,-400,100,1015
350.22,-916,-376,136,999
350.28,-860,-408,204,973
350.33,-856,-436,252,993
350.39,-872,-432,276,1011
350.44,-852,-412,300,992
350.50,-852,-448,440,1058
350.56,-876,-492,524,1133
350.63,-852,-508,500,1110
350.69,-904,-896,936,1579
350.74,-688,-776,300,1079
350.80,-748,-620,336,1028
350.86,-784,-528,320,997
350.91,-796,-552,288,1010
350.97,-840,-396,300,975
351.02,-868,-340,244,963
351.08,-808,-456,212,951
351.14,-816,-440,264,963
351.21,-828,-500,292,1010
351.27,-840,-484,304,1016
351.32,-812,-516,312,1011
351.38,-800,-552,324,1024
351.44,-820,-508,344,1024
351.49,-800,-532,344,1020
351.55,-788,-520,304,991
351.60,-788,-540,304,1002
351.66,-780,-552,288,998
351.72,-752,-560,320,990
351.79,-736,-580,304,985
351.85,-740,-560,308,977
351.90,-760,-588,304,1007
351.96,-772,-580,300,1011
352.02,-764,-552,316,994
352.07,-748,-576,296,989
352.13,-776,-536,340,1002
352.18,-792,-544,296,1005
352.24,-788,-520,292,988
352.30,-756,-572,296,993
352.37,-760,-552,304,987
352.43,-764,-592,304,1013
352.48,-756,-592,320,1012
352.54,-744,-584,328,1001
352.60,-748,-600,316,1009
352.65,-728,-584,204,955
352.71,-764,-592,296,1010
352.76,-756,-592,324,1013
352.82,-752,-568,312,992
352.88,-768,-560,284,992
352.95,-768,-560,308,999
353.01,-764,-576,284,998
353.06,-744,-580,300,989
353.12,-740,-580,292,984
353.18,-768,-552,320,998
353.23,-768,-612,308,1029
353.29,-756,-608,276,1008
353.34,-764,-552,300,989
353.40,-808,-536,332,1024
353.46,-788,-536,320,1005
353.53,-1008,-340,468,1162
353.59,-744,-568,280,977
353.64,-736,-596,264,983
353.70,-756,-652,304,1043
353.76,-744,-628,316,1023
353.81,-736,-612,316,1008
353.87,-752,-572,340,1006
353.92,-740,-588,328,1000
353.98,-740,-580,312,990
354.04,-720,-620,348,1011
354.11,-720,-636,328,1015
354.17,-716,-632,328,1009
354.22,-728,-604,324,999
354.28,-724,-620,332,1009
354.34,-728,-608,336,1006
354.39,-724,-652,344,1033
354.45,-684,-648,300,988
354.50,-712,-660,296,1014
354.56,-720,-668,312,1030
354.62,-716,-656,308,1018
354.69,-748,-616,288,1010
354.75,-752,-608,300,1012
354.80,-804,-548,308,1020
354.86,-832,-516,332,1033
354.92,-820,-480,312,1000
354.97,-828,-432,328,989
355.03,-756,-352,296,884
355.08,-948,-376,224,1044
355.14,-952,-364,256,1050
355.20,-964,-352,204,1046
355.27,-972,-352,208,1054
355.33,-984,-320,196,1053
355.38,-1008,-320,152,1068
355.44,-1004,-344,172,1075
355.50,-960,-332,180,1031
355.55,-948,-316,152,1010
355.61,-952,-280,172,1007
355.66,-956,-268,108,998
355.72,-952,-248,60,985
355.78,-924,-192,-8,943
355.85,-876,-148,-136,898
355.91,-840,-168,-124,865
355.96,-840,-120,-108,855
356.02,-832,-200,-188,876
356.08,-920,-184,-188,956
356.13,-932,-212,-184,973
356.19,-940,-196,-128,968
356.24,-996,-164,-92,1013
356.30,-1000,-164,-124,1020
356.36,-1000,-196,-80,1022
356.43,-1008,-124,-76,1018
356.49,-1052,-124,64,1061
356.54,-1068,-100,12,1072
356.60,-1052,-52,-20,1053
356.66,-984,-72,-116,993
356.71,-972,-104,-28,977
356.77,-1032,-68,-112,1040
356.82,-1032,-12,-52,1033
356.88,-1036,64,-168,1051
356.96,-1048,32,-64,1050
357.01,-972,-28,-92,976
357.07,-920,-24,-116,927
357.12,-1060,100,48,1065
357.18,-1000,4,-4,1000
357.24,-984,-4,-28,984
357.29,-1044,40,-44,1045
357.35,-1072,88,-8,1075
357.40,-1044,80,-68,1049
357.46,-1040,116,-48,1047
357.52,-1060,140,-44,1070
357.59,-1064,120,-36,1071
357.65,-1020,52,-124,1028
357.70,-1012,36,-100,1017
357.76,-1024,16,-52,1025
357.82,-988,24,-44,989
357.87,-944,68,-100,951
357.93,-912,72,-76,917
357.98,-956,88,-56,961
358.04,-964,92,-28,968
358.10,-976,144,-24,986
358.27,-1032,128,-44,1040
358.33,-1036,124,-72,1045
358.38,-1028,92,-84,1035
358.44,-1044,72,-44,1047
358.50,-1048,128,-64,1057
358.55,-988,80,-140,1001
358.61,-980,104,-60,987
358.66,-1004,160,-32,1017
358.72,-1040,144,-12,1049
358.78,-1008,124,-52,1016
358.85,-1016,84,-20,1019
358.91,-1012,120,-68,1021
358.96,-972,104,-84,981
359.02,-992,136,-60,1003
359.08,-980,92,-72,986
359.13,-976,92,-80,983
359.19,-1008,100,-40,1013
359.24,-1020,84,-28,1023
359.30,-1028,124,-16,1035
359.36,-1004,100,-40,1009
359.41,-1000,92,-48,1005
359.49,-1000,116,-72,1009
359.55,-1028,120,-68,1037
359.60,-1048,108,-56,1055
359.66,-1104,84,-48,1108
359.71,-1124,8,-96,1128
359.77,-1168,148,-64,1179
359.82,-1104,72,-140,1115
359.88,-1096,28,-40,1097
359.94,-1108,132,-16,1115
359.99,-1076,124,-64,1085
360.07,-1044,164,-108,1062
360.12,-996,120,-104,1008
360.18,-964,68,-104,971
360.24,-920,-8,-96,925
360.29,-924,-12,-100,929
360.35,-916,-52,-132,926
360.40,-960,8,-68,962
360.46,-916,-24,-240,947
360.52,-936,-20,-100,941
360.57,-908,12,-64,910
360.65,-868,-40,-68,871
360.70,-876,-36,-76,880
360.76,-912,-132,-60,923
360.82,-952,-184,-48,970
360.87,-1020,-160,0,1032
360.93,-1016,-104,-28,1021
360.98,-1032,-32,-20,1032
361.04,-1040,0,-44,1040
361.10,-1048,-4,-48,1049
361.15,-1032,-68,-48,1035
361.23,-1028,-120,-36,1035
361.28,-992,-108,-48,999
361.34,-1000,-88,-24,1004
361.40,-1000,-72,-56,1004
361.45,-1020,-112,-8,1026
361.51,-1016,-80,-56,1020
361.56,-1024,-48,-72,1027
361.62,-972,-24,-136,981
361.68,-988,-56,-132,998
361.73,-992,24,-88,996
361.81,-916,-72,-108,925
361.86,-964,-20,-140,974
361.92,-1000,32,-148,1011
361.98,-1044,68,-132,1054
362.03,-1008,-24,-112,1014
362.09,-904,20,-96,909
362.14,-924,-60,-96,930
362.20,-1004,24,-172,1018
362.26,-944,52,-200,966
362.31,-988,-80,-208,1012
362.39,-1036,84,-136,1048
362.44,-1064,-20,-40,1064
362.50,-1036,-132,-56,1045
362.56,-1064,4,-108,1069
362.61,-1068,108,-152,1084
362.67,-1064,76,-124,1073
362.72,-1004,-52,-124,1012
362.78,-1044,124,-208,1071
362.84,2040,-1624,-1020,2799
362.89,2040,-2040,-884,3017
362.97,-2040,1240,624,2467
363.02,-676,-848,-840,1371
363.08,-760,440,-296,926
363.14,-536,-884,-768,1287
363.19,-744,-56,-212,775
363.25,-692,-644,-172,960
363.30,-1348,748,48,1542
363.36,-1204,456,0,1287
363.42,-1072,72,-8,1074
363.47,-1148,448,-28,1232
363.55,-1180,176,48,1194
363.60,-1100,280,-44,1135
363.66,-948,-12,-168,962
363.72,-956,100,-120,968
363.77,-960,88,-48,965
363.83,-876,-48,-104,883
363.88,-1044,240,-20,1071
363.94,-1000,60,-44,1002
364.00,-956,40,-84,960
364.05,-932,-8,-116,939
364.13,-996,184,-92,1017
364.18,-1028,240,-68,1057
364.24,-1016,216,-52,1040
364.30,-924,132,-84,937
364.35,-916,172,-64,934
364.41,-872,216,-60,900
364.46,-868,232,-36,899
364.52,-824,260,-48,865
364.58,-932,264,-40,969
364.63,-984,228,-64,1012
364.69,-968,96,-92,977
364.76,-1096,80,-36,1099
364.82,-1136,48,-72,1139
364.88,-1172,-12,-112,1177
364.93,-1168,-96,-116,1177
364.99,-1156,-52,-136,1165
365.04,-1116,-24,-116,1122
365.10,-1020,-32,-144,1030
365.16,-1064,36,-112,1070
365.21,-1056,56,-84,1060
365.27,-936,8,-100,941
365.34,-940,-132,-108,955
365.40,-960,-220,-140,994
365.46,-920,-292,-116,972
365.51,-920,-324,-80,978
365.57,-972,-332,-92,1031
365.62,-1044,-420,-68,1127
365.68,-1016,-512,-76,1140
365.74,-1028,-444,36,1120
365.79,-1088,-284,72,1126
365.86,-1004,-120,-56,1012
365.92,-876,-120,-156,897
365.98,-844,-136,-228,884
366.03,-884,-168,-284,943
366.09,-908,-208,-348,994
366.14,-836,-296,-376,963
366.20,-764,-400,-352,931
366.26,-764,-476,-408,988
366.31,-764,-488,-372,979
366.37,-732,-552,-424,1010
366.44,-784,-532,-404,1029
366.50,-736,-572,-460,1039
366.56,-732,-484,-392,961
366.61,-772,-528,-304,983
366.67,-788,-500,-280,974
366.72,-812,-512,-276,998
366.78,-824,-556,-228,1019
